Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1679400078.125185,1679400078.125971,92.000000,0.000000,2821.153809,2838.461426,2846.538574,2839.615479,2790.769287,2640.769287,2766.153809,3148.718018,2781.794922,2943.718018,2688.333252,2975.256348,2811.923096,2766.666748,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,23.000000,0.000000,0.011845,0.620361,-0.055115,0.782288,1.455256,1.285802,0.536198,-40.802505,14.676323,40.639320
1679400078.132993,1679400078.133879,93.000000,0.000000,2857.435791,2866.281982,2877.307617,2873.205078,2842.435791,2665.641113,2780.128174,3155.000000,2752.051270,2984.102539,2720.641113,3001.538574,2857.820557,2808.589844,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.140802,1679400078.141688,94.000000,0.000000,2897.179443,2896.538574,2915.128174,2915.897461,2877.307617,2708.846191,2812.307617,3189.230713,2772.564209,3055.128174,2764.871826,3043.076904,2902.820557,2858.718018,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.148610,1679400078.149596,95.000000,0.000000,2911.923096,2921.153809,2937.435791,2938.076904,2908.589844,2724.358887,2821.025635,3196.153809,2776.153809,3082.051270,2801.153809,3064.102539,2938.333252,2892.948730,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.156418,1679400078.157404,96.000000,0.000000,2944.358887,2943.846191,2963.846191,2961.281982,2943.461426,2745.897461,2834.102539,3226.923096,2796.410156,3126.538574,2850.000000,3093.333252,2999.358887,2936.666748,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,24.000000,0.000000,0.013422,0.619690,-0.047974,0.783264,0.000000,0.000000,0.000000,-40.538921,14.492024,40.708721
1679400078.164226,1679400078.165113,97.000000,0.000000,3001.923096,2971.410156,3000.897461,3007.179443,2969.358887,2790.256348,2865.897461,3293.846191,2850.512939,3195.128174,2905.641113,3141.153809,3057.051270,2982.179443,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.172035,1679400078.172921,98.000000,0.000000,3026.666748,2991.025635,3024.102539,3037.820557,2998.076904,2826.666748,2902.948730,3341.923096,2890.897461,3237.564209,2944.487061,3176.025635,3082.564209,3008.589844,2675.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.179843,1679400078.180630,99.000000,0.000000,3024.102539,2997.692383,3030.128174,3039.230713,3027.948730,2850.256348,2937.692383,3364.871826,2907.179443,3265.256348,2969.230713,3196.281982,3102.564209,3029.230713,2728.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679400078.187652,1679400078.188438,100.000000,0.000000,3048.846191,3020.897461,3047.820557,3058.718018,3052.564209,2884.615479,2979.871826,3403.846191,2926.025635,3306.923096,3008.205078,3230.897461,3148.076904,3064.615479,2990.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,25.000000,0.000000,0.007139,0.617554,-0.056213,0.784485,0.857038,0.104505,0.502503,-40.551697,14.492822,40.854515
1679400078.195460,1679400078.196147,101.000000,0.000000,3096.923096,3062.435791,3088.974365,3104.871826,3091.025635,2934.487061,3037.820557,3469.871826,2958.333252,3367.948730,3072.692383,3293.205078,3207.307617,3114.487061,2782.000000,4.000000,91.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
